,batch_size,depth,dropout,epochs,lr,width,l_train,l_test,param_norm,spectral_orig,spec,vc_dim
0,128,2,0.25,1,1,24,2.4111888647079467,2.050940979003906,85.64556884765625,155397.875,4.508698064481795,2328030.1433062716
1,128,2,0.25,1,1,48,2.2997793912887574,2.0652332153320314,84.9521255493164,144980.8125,4.4206295337745685,2328030.1433062716
2,128,4,0.25,1,1,24,2.3853295624256132,2.098428564453125,85.28419494628906,143637.40625,4.447962876514378,2328030.1433062716
3,128,4,0.25,1,1,48,2.472773289680481,2.1082203857421873,86.89781188964844,155757.6875,4.459497455565441,2328030.1433062716
