,batch_size,depth,dropout,epochs,lr,width,l_train,l_test,param_norm,spectral_orig,spec,vc_dim
0,16,2,0.25,2,0.25,16,2.279945706907908,2.138075927734375,60.77109909057617,21327761.0,7.834819654585629,17452.376243604358
1,16,2,0.25,2,0.25,32,2.0760486842950185,1.690398779296875,164.58351135253906,15535036160.0,8.71632777927179,65934.31174750689
2,16,2,0.25,2,0.25,64,2.218499816854795,1.518538720703125,192.73065185546875,33973578240.0,7.938736843791806,256126.92776127552
3,16,4,0.25,2,0.25,16,2.301865941238403,2.3017502685546876,67.89775848388672,24286700672.0,13.169556832463371,122586.3561010418
4,16,4,0.25,2,0.25,32,2.3025835319201153,2.302585205078125,130.73751831054688,89445823414272.0,13.282634735123208,477110.34560263914
5,16,4,0.25,2,0.25,64,2.302614988899231,2.302585205078125,259.7452087402344,3.909122917484462e+17,13.269813148403358,1882359.7300560777
6,16,8,0.25,2,0.25,16,2.302756649017334,2.302585205078125,133.761474609375,3.5987098040480563e+19,25.22904247449305,693042.7103781652
7,16,8,0.25,2,0.25,32,2.3018843719482422,2.3018721435546876,259.54254150390625,4.0165496671315904e+26,25.252039463308222,2725596.9933723444
8,16,8,0.25,2,0.25,64,2.301813938744863,2.301858740234375,513.496826171875,5.977438935300276e+33,25.224796832717242,10810234.029302778
9,32,2,0.25,2,0.25,16,2.2653685429255166,2.0733861694335936,55.207759857177734,10374186.375,7.623888108666735,17452.376243604358
10,32,2,0.25,2,0.25,32,2.242859121449788,2.033076574707031,92.69369506835938,333725700.0,7.874820130685887,65934.31174750689
11,32,2,0.25,2,0.25,64,1.9956012490590413,1.4101594604492187,233.28475952148438,133163104256.0,8.395564986208782,256126.92776127552
12,32,4,0.25,2,0.25,16,2.3018208123524984,2.301637255859375,69.4393081665039,34531454464.0,13.355075191892722,122586.3561010418
13,32,4,0.25,2,0.25,32,2.302638089561462,2.3025669189453124,130.44656372070312,82132598259712.0,13.18952788928128,477110.34560263914
14,32,4,0.25,2,0.25,64,2.3025935507456463,2.3026276123046876,259.7102355957031,3.966300872203305e+17,13.283905172311592,1882359.7300560777
15,32,8,0.25,2,0.25,16,2.301929156176249,2.3017347412109377,130.99456787109375,2.223635479742382e+19,25.320868191228037,693042.7103781652
16,32,8,0.25,2,0.25,32,2.302665666135152,2.302585205078125,260.76763916015625,4.561552956181816e+26,25.266806301975514,2725596.9933723444
17,32,8,0.25,2,0.25,64,2.301617935562134,2.301716259765625,513.41064453125,6.000984941703746e+33,25.233588346057125,10810234.029302778
